Symbol,Date,Close,Signal,Expected_Return,ML_Prediction,ML_Score,Technical_Score,Technical_Normalized,News_Score,Final_Score,Confidence,Reasons
ADANIENT.NS,2026-09-11 00:00:00+05:30,3060.0,BUY,3.134,3.174,1.0,2,0.4,0.4211,0.7053,62.69,Positive technical signals; Strong positive ML ranking; Positive recent news
LT.NS,2026-09-11 00:00:00+05:30,3930.699951171875,HOLD,1.868,1.907,0.0858,0,0.0,0.4444,0.154,16.06,Mixed technical signals; Neutral ML ranking; Positive recent news
KOTAKBANK.NS,2026-09-11 00:00:00+05:30,419.0,HOLD,1.764,1.804,-0.0543,2,0.4,0.0909,0.0956,13.35,Positive technical signals; Neutral ML ranking; Neutral recent news
BAJFINANCE.NS,2026-09-11 00:00:00+05:30,1034.5,HOLD,1.812,1.851,0.0103,0,0.0,0.1538,0.0436,7.11,Mixed technical signals; Neutral ML ranking; Positive recent news
TITAN.NS,2026-09-11 00:00:00+05:30,5009.5,HOLD,1.86,1.9,0.0757,0,0.0,0.0,0.0379,6.75,Mixed technical signals; Neutral ML ranking; Neutral recent news
HINDUNILVR.NS,2026-09-11 00:00:00+05:30,1927.0,HOLD,1.868,1.907,0.0858,-2,-0.4,0.2778,0.0124,12.72,Negative technical signals; Neutral ML ranking; Positive recent news
HDFCBANK.NS,2026-09-11 00:00:00+05:30,708.25,HOLD,1.801,1.841,-0.0036,0,0.0,0.0312,0.006,4.23,Mixed technical signals; Neutral ML ranking; Neutral recent news
RELIANCE.NS,2026-09-11 00:00:00+05:30,1257.5,HOLD,1.873,1.913,0.0937,-3,-0.6,0.1818,-0.0577,15.75,Strong negative technical trend; Neutral ML ranking; Positive recent news
ICICIBANK.NS,2026-09-11 00:00:00+05:30,1379.300048828125,HOLD,1.864,1.904,0.081,-3,-0.6,0.1,-0.0845,15.73,Strong negative technical trend; Neutral ML ranking; Neutral recent news
ASIANPAINT.NS,2026-09-11 00:00:00+05:30,2472.5,HOLD,1.808,1.847,0.0047,-2,-0.4,0.0,-0.0977,11.62,Negative technical signals; Neutral ML ranking; Neutral recent news
MARUTI.NS,2026-09-11 00:00:00+05:30,12400.0,HOLD,1.768,1.808,-0.0487,-2,-0.4,0.0833,-0.1035,13.48,Negative technical signals; Neutral ML ranking; Neutral recent news
BHARTIARTL.NS,2026-09-11 00:00:00+05:30,1831.0999755859373,HOLD,1.707,1.747,-0.131,-2,-0.4,0.2,-0.1155,16.65,Negative technical signals; Negative ML ranking; Positive recent news
ULTRACEMCO.NS,2026-09-11 00:00:00+05:30,11000.0,HOLD,1.882,1.921,0.1049,-3,-0.6,-0.1667,-0.1392,19.1,Strong negative technical trend; Positive ML ranking; Negative recent news
SBIN.NS,2026-09-11 00:00:00+05:30,995.7000122070312,HOLD,1.814,1.854,0.0135,-3,-0.6,-0.0169,-0.1475,15.97,Strong negative technical trend; Neutral ML ranking; Neutral recent news
AXISBANK.NS,2026-09-11 00:00:00+05:30,1246.0,HOLD,1.675,1.714,-0.1749,-1,-0.2,-0.0541,-0.1509,15.43,Negative technical signals; Negative ML ranking; Neutral recent news
TCS.NS,2026-09-11 00:00:00+05:30,2200.800048828125,HOLD,1.664,1.704,-0.1887,-1,-0.2,-0.0909,-0.1671,16.7,Negative technical signals; Negative ML ranking; Neutral recent news
ITC.NS,2026-09-11 00:00:00+05:30,259.8500061035156,HOLD,1.719,1.758,-0.1154,-3,-0.6,0.0,-0.2077,20.05,Strong negative technical trend; Negative ML ranking; Neutral recent news
SUNPHARMA.NS,2026-09-11 00:00:00+05:30,1840.0,HOLD,1.701,1.741,-0.1389,-3,-0.6,0.0,-0.2195,20.96,Strong negative technical trend; Negative ML ranking; Neutral recent news
INFY.NS,2026-09-11 00:00:00+05:30,1037.699951171875,HOLD,1.612,1.652,-0.2592,-3,-0.6,-0.1176,-0.309,27.95,Strong negative technical trend; Negative ML ranking; Neutral recent news
ADANIPORTS.NS,2026-09-11 00:00:00+05:30,1764.5999755859375,HOLD,0.888,0.928,-1.0,2,0.4,0.36,-0.31,41.78,Positive technical signals; Strong negative ML ranking; Positive recent news
